Name,Height,Weight
Cristiano Ronaldo,185,80
Lionel Messi,170,72
Neymar,174,68
Luis Suárez,182,85
Manuel Neuer,193,92
De Gea,193,82
Robert Lewandowski,185,79
Gareth Bale,183,74
Zlatan Ibrahimović,195,95
Thibaut Courtois,199,91
Jérôme Boateng,192,90
Eden Hazard,173,74
Luka Modrić,174,65
Mesut Özil,180,76
Gonzalo Higuaín,184,92
Thiago Silva,183,79
Sergio Ramos,183,75
Sergio Agüero,173,70
Paul Pogba,191,84
Antoine Griezmann,176,67
Kevin De Bruyne,181,68
Marco Reus,182,76
Alexis Sánchez,169,62
Toni Kroos,182,78
Diego Godín,185,73
Mats Hummels,191,92
Hugo Lloris,188,82
Giorgio Chiellini,187,84
Philipp Lahm,170,66
Pepe,188,81
Petr Čech,196,90
Gianluigi Buffon,192,91
Iniesta,171,68
Jan Oblak,189,87
James Rodríguez,180,75
Pierre-Emerick Aubameyang,187,80
Leonardo Bonucci,190,85
Arturo Vidal,180,75
Ivan Rakitić,184,78
David Silva,173,67
Samir Handanovič,193,89
Piqué,193,85
Arjen Robben,180,80
Paulo Dybala,177,74
Marco Verratti,165,60
David Alaba,180,76
Henrikh Mkhitaryan,177,75
Bernd Leno,190,83
Thomas Müller,186,75
Sergio Busquets,189,76
Thiago,174,70
Jordi Alba,170,68
Coutinho,171,68
Ángel Di María,180,75
Diego Costa,188,85
Edinson Cavani,184,71
Radja Nainggolan,176,65
Marcelo,174,75
Claudio Marchisio,180,75
Miranda,186,78
Karim Benzema,187,79
Cesc Fàbregas,175,74
Franck Ribéry,170,72
Santi Cazorla,168,66
Andrea Barzagli,187,88
Harry Kane,188,86
Alexandre Lacazette,175,73
Keylor Navas,185,78
Romelu Lukaku,190,94
Christian Eriksen,180,76
İlkay Gündoğan,180,80
Toby Alderweireld,187,91
Willian,175,75
Miralem Pjanić,180,72
Juan Mata,170,63
Javi Martinez,190,81
Dimitri Payet,175,77
Dries Mertens,169,61
Sokratis,186,85
Marek Hamšik,183,79
Blaise Matuidi,175,70
Stéphane Ruffier,188,93
Laurent Koscielny,186,75
Filipe Luís,182,77
Vincent Kompany,193,85
Aymeric Laporte,189,85
Yannick Carrasco,180,66
Carvajal,173,73
Riyad Mahrez,179,62
Raphaël Varane,191,78
Mauro Icardi,181,75
Lorenzo Insigne,163,59
Isco,176,74
Koke,178,74
Kostas Manolas,189,83
Danijel Subašić,191,84
Nicolás Otamendi,183,81
Shkodran Mustafi,184,82
Nemanja Matić,194,84
Alex Sandro,181,76
Kamil Glik,190,80
Douglas Costa,170,65
Kevin Strootman,186,78
Nicolás Gaitán,173,68
Bruno,184,73
Ivan Perišić,186,81
David Luiz,189,84
Sami Khedira,189,93
Benedikt Höwedes,187,82
Ralf Fährmann,196,95
Sergio Asenjo,189,87
Éver Banega,174,71
Medhi Benatia,190,96
Steve Mandanda,185,82
Dani Alves,172,68
Arda Turan,177,76
Javier Mascherano,174,73
Aduriz,182,78
Yaya Touré,189,90
Eric Bailly,187,77
José María Giménez,185,80
N'Golo Kanté,168,68
Gerónimo Rulli,189,80
João Mário,179,73
André Gomes,188,84
Marquinhos,183,75
Carlos Bacca,181,77
William Carvalho,187,83
Karim Bellarabi,183,80
Raheem Sterling,170,69
Julian Draxler,187,72
Roberto Firmino,181,76
Marcos Rojo,187,80
Kalidou Koulibaly,195,89
Danilo Pereira,188,83
Timo Horn,192,90
Casemiro,184,80
Vitolo,184,79
Anthony Lopes,184,81
Mattia Perin,188,74
Joel Matip,195,90
Juan Cuadrado,179,71
Iago Aspas,176,67
Marc-André ter Stegen,187,85
Mario Götze,176,75
Ander Herrera,182,73
Javier Pastore,187,78
Chris Smalling,193,90
Pedro,167,62
Giacomo Bonaventura,181,75
Roman Bürki,187,85
Oscar,179,67
Steven N'Zonzi,190,75
Aaron Ramsey,183,76
Mateo Musacchio,182,75
Ömer Toprak,187,83
José Callejón,178,73
Adrien Silva,175,69
Azpilicueta,178,75
Sebastian Giovinco,164,59
Anthony Modeste,187,84
Mario Mandžukić,190,86
Adam Lallana,172,73
Olivier Giroud,192,88
Rui Patrício,190,84
Yann Sommer,183,79
Jonas,181,75
Kévin Gameiro,173,70
Claudio Bravo,184,80
Łukasz Piszczek,184,78
Jan Vertonghen,189,88
Asmir Begović,200,83
Naldo,198,91
Daniel Sturridge,180,76
