Height,Weight
185,80
170,72
174,68
182,85
193,92
193,82
185,79
183,74
195,95
199,91
192,90
173,74
174,65
180,76
184,92
183,79
183,75
173,70
191,84
176,67
181,68
182,76
169,62
182,78
185,73
191,92
188,82
187,84
170,66
188,81
196,90
192,91
171,68
189,87
180,75
187,80
190,85
180,75
184,78
173,67
193,89
193,85
180,80
177,74
165,60
180,76
177,75
190,83
186,75
189,76
174,70
170,68
171,68
180,75
188,85
184,71
176,65
174,75
180,75
186,78
187,79
175,74
170,72
168,66
187,88
188,86
175,73
185,78
190,94
180,76
180,80
187,91
175,75
180,72
170,63
190,81
175,77
169,61
186,85
183,79
175,70
188,93
186,75
182,77
193,85
189,85
180,66
173,73
179,62
191,78
181,75
163,59
176,74
178,74
189,83
191,84
183,81
184,82
194,84
181,76
190,80
170,65
186,78
173,68
184,73
186,81
189,84
189,93
187,82
196,95
189,87
174,71
190,96
185,82
172,68
177,76
174,73
182,78
189,90
187,77
185,80
168,68
189,80
179,73
188,84
183,75
181,77
187,83
183,80
170,69
187,72
181,76
187,80
195,89
188,83
192,90
184,80
184,79
184,81
188,74
195,90
179,71
176,67
187,85
176,75
182,73
187,78
193,90
167,62
181,75
187,85
179,67
190,75
183,76
182,75
187,83
178,73
175,69
178,75
164,59
187,84
190,86
172,73
192,88
190,84
183,79
181,75
173,70
184,80
184,78
189,88
200,83
198,91
180,76
187,81
188,77
175,75
193,86
182,91
170,70
185,76
175,73
178,74
196,91
180,72
170,72
175,66
182,74
176,83
184,83
188,92
175,67
178,70
173,64
188,79
194,98
184,76
188,80
188,83
175,72
175,75
173,69
186,82
178,71
181,75
186,73
171,73
190,87
173,67
193,92
196,95
189,85
172,72
178,78
192,88
175,72
185,82
189,78
170,64
172,66
176,76
186,85
178,65
188,84
171,71
174,72
185,78
180,77
169,72
185,85
175,67
195,88
172,68
172,64
189,88
172,64
183,83
174,69
187,80
172,68
186,77
175,66
192,83
182,67
190,79
187,83
190,88
190,84
192,84
193,84
177,77
175,73
175,72
185,80
186,73
185,75
182,70
177,75
195,90
181,78
172,74
177,72
187,83
